OrderID,WarehouseID,ProductID,ProductType,Category,Quantity,FinalPrice,ItemStatus,OrderStatus
112,4,25,Discounted,Electronics,4,643.08,SUCCESS,SUCCESS
114,4,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
115,4,40,Taxable,Office,1,378.35,SUCCESS,SUCCESS
116,4,33,Discounted,Office,1,94.162,SUCCESS,SUCCESS
117,4,29,Taxable,Automotive,2,113.85,SUCCESS,SUCCESS
118,4,4,Taxable,Sports,5,1148.85,SUCCESS,SUCCESS
120,4,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
122,4,40,Taxable,Office,5,378.35,SUCCESS,SUCCESS
123,4,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
124,4,39,Discounted,Home,1,305.762,SUCCESS,SUCCESS
126,4,27,Taxable,Automotive,1,148.35,SUCCESS,SUCCESS
127,4,10,Taxable,Beauty,5,573.85,SUCCESS,SUCCESS
128,4,19,Discounted,Automotive,1,168.222,SUCCESS,SUCCESS
129,4,10,Taxable,Beauty,5,573.85,SUCCESS,SUCCESS
130,4,36,Discounted,Garden,3,79.948,SUCCESS,SUCCESS
134,4,5,Taxable,Home,2,1378.85,SUCCESS,SUCCESS
135,4,34,Discounted,Beauty,5,49.1625,SUCCESS,SUCCESS
138,4,36,Discounted,Garden,4,79.948,SUCCESS,SUCCESS
141,4,31,Taxable,Sports,1,90.85,SUCCESS,SUCCESS
145,4,20,Discounted,Toys,3,272.722,SUCCESS,SUCCESS
146,4,37,Discounted,Office,1,253.172,SUCCESS,SUCCESS
147,4,40,Taxable,Office,5,378.35,SUCCESS,SUCCESS
148,4,11,Taxable,Office,1,1033.85,SUCCESS,SUCCESS
149,4,32,Discounted,Garden,2,64.4575,SUCCESS,SUCCESS
152,4,38,Discounted,Garden,1,412.965,SUCCESS,SUCCESS
154,4,7,Taxable,Automotive,4,746.35,SUCCESS,SUCCESS
156,4,37,Discounted,Office,4,253.172,SUCCESS,SUCCESS
