OrderID,WarehouseID,ProductID,ProductType,Category,Quantity,FinalPrice,ItemStatus,OrderStatus
137,2,33,Discounted,Office,1,94.162,SUCCESS,SUCCESS
148,2,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
146,2,17,Discounted,Toys,3,555.588,SUCCESS,SUCCESS
170,2,39,Discounted,Home,4,305.762,SUCCESS,SUCCESS
173,2,39,Discounted,Home,3,305.762,SUCCESS,SUCCESS
169,2,14,Discounted,Sports,4,464.715,SUCCESS,SUCCESS
166,2,31,Taxable,Sports,1,90.85,SUCCESS,SUCCESS
157,2,40,Taxable,Office,3,378.35,SUCCESS,SUCCESS
156,2,24,Discounted,Garden,5,341.147,SUCCESS,SUCCESS
159,2,28,Taxable,Beauty,3,125.35,SUCCESS,SUCCESS
149,2,24,Discounted,Garden,1,341.147,SUCCESS,SUCCESS
154,2,28,Taxable,Beauty,5,125.35,SUCCESS,SUCCESS
162,2,26,Discounted,Sports,5,205.965,SUCCESS,SUCCESS
177,2,31,Taxable,Sports,4,90.85,SUCCESS,SUCCESS
164,2,6,Taxable,Office,2,2643.85,SUCCESS,SUCCESS
171,2,27,Taxable,Automotive,3,148.35,SUCCESS,SUCCESS
151,2,38,Discounted,Garden,5,412.965,SUCCESS,SUCCESS
179,2,31,Taxable,Sports,3,90.85,SUCCESS,SUCCESS
175,2,39,Discounted,Home,3,305.762,SUCCESS,SUCCESS
160,2,28,Taxable,Beauty,1,125.35,SUCCESS,SUCCESS
184,2,5,Taxable,Home,5,1378.85,SUCCESS,SUCCESS
181,2,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
185,2,30,Taxable,Garden,4,205.85,SUCCESS,SUCCESS
205,2,28,Taxable,Beauty,2,125.35,SUCCESS,SUCCESS
212,2,33,Discounted,Office,5,94.162,SUCCESS,SUCCESS
196,2,13,Taxable,Books,5,861.35,SUCCESS,SUCCESS
193,2,19,Discounted,Automotive,2,168.222,SUCCESS,SUCCESS
189,2,34,Discounted,Beauty,1,49.1625,SUCCESS,SUCCESS
194,2,40,Taxable,Office,4,378.35,SUCCESS,SUCCESS
199,2,32,Discounted,Garden,2,64.4575,SUCCESS,SUCCESS
197,2,37,Discounted,Office,4,253.172,SUCCESS,PARTIAL
209,2,31,Taxable,Sports,3,90.85,SUCCESS,SUCCESS
195,2,39,Discounted,Home,3,305.762,SUCCESS,SUCCESS
201,2,27,Taxable,Automotive,2,148.35,SUCCESS,SUCCESS
207,2,19,Discounted,Automotive,5,168.222,SUCCESS,SUCCESS
