OrderID,WarehouseID,ProductID,ProductType,Category,Quantity,FinalPrice,ItemStatus,OrderStatus
430,5,32,Discounted,Garden,1,64.4575,SUCCESS,SUCCESS
432,5,37,Discounted,Office,2,253.172,SUCCESS,PARTIAL
446,5,37,Discounted,Office,2,253.172,FAILED,FAILED
450,5,37,Discounted,Office,3,253.172,FAILED,PARTIAL
451,5,29,Taxable,Automotive,3,113.85,SUCCESS,SUCCESS
456,5,37,Discounted,Office,3,253.172,FAILED,FAILED
461,5,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
463,5,3,Taxable,Beauty,2,918.85,SUCCESS,SUCCESS
493,5,32,Discounted,Garden,1,64.4575,SUCCESS,SUCCESS
495,5,2,Taxable,Electronics,3,1723.85,FAILED,FAILED
504,5,23,Discounted,Garden,4,237.015,SUCCESS,SUCCESS
516,5,36,Discounted,Garden,5,79.948,SUCCESS,PARTIAL
538,5,26,Discounted,Sports,5,205.965,SUCCESS,SUCCESS
539,5,37,Discounted,Office,3,253.172,FAILED,FAILED
541,5,18,Discounted,Garden,5,257.715,SUCCESS,SUCCESS
567,5,36,Discounted,Garden,2,79.948,SUCCESS,SUCCESS
568,5,40,Taxable,Office,3,378.35,FAILED,PARTIAL
570,5,6,Taxable,Office,1,2643.85,FAILED,FAILED
571,5,14,Discounted,Sports,1,464.715,SUCCESS,SUCCESS
572,5,39,Discounted,Home,4,305.762,SUCCESS,SUCCESS
574,5,36,Discounted,Garden,3,79.948,SUCCESS,PARTIAL
577,5,35,Standard,Perishables,4,69,SUCCESS,PARTIAL
579,5,23,Discounted,Garden,5,237.015,SUCCESS,SUCCESS
582,5,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
592,5,29,Taxable,Automotive,1,113.85,SUCCESS,SUCCESS
594,5,38,Discounted,Garden,1,412.965,FAILED,PARTIAL
605,5,13,Taxable,Books,2,861.35,SUCCESS,SUCCESS
614,5,36,Discounted,Garden,5,79.948,SUCCESS,SUCCESS
615,5,2,Taxable,Electronics,1,1723.85,FAILED,FAILED
616,5,5,Taxable,Home,4,1378.85,FAILED,FAILED
618,5,30,Taxable,Garden,5,205.85,SUCCESS,SUCCESS
623,5,11,Taxable,Office,1,1033.85,SUCCESS,SUCCESS
635,5,5,Taxable,Home,4,1378.85,FAILED,FAILED
636,5,37,Discounted,Office,3,253.172,FAILED,FAILED
637,5,33,Discounted,Office,4,94.162,SUCCESS,SUCCESS
639,5,15,Discounted,Office,2,292.272,SUCCESS,SUCCESS
641,5,37,Discounted,Office,5,253.172,FAILED,FAILED
647,5,30,Taxable,Garden,4,205.85,SUCCESS,SUCCESS
648,5,29,Taxable,Automotive,5,113.85,SUCCESS,SUCCESS
649,5,35,Standard,Perishables,2,69,SUCCESS,PARTIAL
658,5,20,Discounted,Toys,5,272.722,SUCCESS,SUCCESS
659,5,38,Discounted,Garden,4,412.965,FAILED,PARTIAL
660,5,35,Standard,Perishables,1,69,SUCCESS,PARTIAL
662,5,40,Taxable,Office,4,378.35,FAILED,FAILED
664,5,32,Discounted,Garden,3,64.4575,SUCCESS,SUCCESS
665,5,39,Discounted,Home,2,305.762,SUCCESS,PARTIAL
671,5,28,Taxable,Beauty,5,125.35,SUCCESS,SUCCESS
672,5,30,Taxable,Garden,3,205.85,FAILED,PARTIAL
680,5,31,Taxable,Sports,4,90.85,FAILED,PARTIAL
686,5,36,Discounted,Garden,1,79.948,SUCCESS,SUCCESS
