1,Gloves Touchscreen Compatible,Clothing,599,120,T,0.15,0
2,Wi-Fi Range Extender,Electronics,1499,80,T,0.15,0
3,Q-Tips Safety Swabs 500ct,Beauty,799,100,T,0.15,0
4,Vibration Plate Whole Body,Sports,999,60,T,0.15,0
5,Clothes Drying Rack Foldable,Home,1199,90,T,0.15,0
6,Binding Machine Comb 300 Sheet,Office,2299,45,T,0.15,0
7,Car Cover Waterproof,Automotive,649,110,T,0.15,0
8,Digital Alarm Clock Radio,Home,2499,35,T,0.15,0
9,Brush Pen Calligraphy Black,Office,199,200,T,0.15,0
10,Exfoliating Scrub Walnut,Beauty,499,150,T,0.15,0
11,Speakerphone Bluetooth Conference,Office,899,50,T,0.15,0
12,Portable Power Bank 20000mAh,Electronics,1399,70,T,0.15,0
13,Knuffle Bunny Free,Books,749,130,T,0.15,0
14,Lat Pulldown Bar,Sports,449,100,D,0,0.1
15,Photo Album 4x6 200 Pockets,Office,299,150,D,0,0.15
16,Marker Fine Point Black 12pk,Office,149,180,D,0,0.1
17,Markers Washable Broad Line,Toys,549,75,D,0,0.12
18,Wall Mounted Planter 2 Piece,Garden,249,120,D,0,0.1
19,Tail Light LED Black,Automotive,159,200,D,0,0.08
20,Kinetic Sand 2lb,Toys,279,100,D,0,0.15
21,Daring Greatly Brené Brown,Books,399,85,D,0,0.1
22,Callus Remover Electric Roller,Beauty,189,140,D,0,0.12
23,"Peat Pots 3"" 50ct",Garden,229,110,D,0,0.1
24,Weeder Long Handle,Garden,349,80,D,0,0.15
25,Graphing Calculator,Electronics,699,60,D,0,0.2
26,Armband Phone Case,Sports,199,120,D,0,0.1
27,Jump Starter 2000A,Automotive,129,250,T,0.15,0
28,Fake Tan Remover Eraser,Beauty,109,250,T,0.15,0
29,Parking Brake Handle,Automotive,99,200,T,0.15,0
30,Transplanting Spade,Garden,179,150,T,0.15,0
31,Treadmill Folding 2.5HP,Sports,79,120,T,0.15,0
32,Copper Fungicide 16oz,Garden,59,170,D,0,0.05
33,Badge Holder Vertical 10ct,Office,89,190,D,0,0.08
34,Cuticle Pusher Stainless,Beauty,45,220,D,0,0.05
35,Hot Sauce Habanero,Perishables,69,140,S,0,0
36,Butterfly Feeder Glass,Garden,79,160,D,0,0.12
37,"Lanyard Black 36"" 12ct",Office,259,90,D,0,0.15
38,Hedge Shears Wavy Blade,Garden,399,70,D,0,0.1
39,Wastebasket Stainless Steel,Home,289,110,D,0,0.08
40,Notebook College Ruled 100 Sheets,Office,329,85,T,0.15,0
41,Trench Coat Double Breasted,Clothing,1599,20,D,0,0.08
42,Tool Belt Toy Plastic,Toys,717,115,T,0.15,0
43,Fake Smartphone Touchscreen,Toys,1639,232,D,0,0.12
44,"Globe Illuminated 12""",Toys,1566,191,D,0,0.11
45,Multimeter Digital Auto-Ranging,Automotive,330,69,T,0.15,0
46,"Scotch Tape Magic 3/4"" x 1000""",Office,406,389,D,0,0.06
47,Garment Bag Suit Travel,Home,1696,291,D,0,0.09
48,Camping Chair Oversized,Sports,1590,377,D,0,0.05
49,Pumice Stone Natural,Beauty,422,204,D,0,0.18
50,Paper Shredder 12 Sheet Cross Cut,Office,373,37,D,0,0.08
51,Dinosaur Toy Roaring,Toys,875,402,D,0,0.02
52,Brake Fluid DOT 4,Automotive,1333,45,D,0,0.18
53,Triceps Rope Attachment,Sports,1689,394,D,0,0.03
54,Pogo Stick Adjustable,Toys,754,31,D,0,0.17
55,USB Flash Drive 128GB,Electronics,1138,69,T,0.15,0
56,Emergency Road Flares,Automotive,422,279,D,0,0.17
57,Garden Fork Pitch,Garden,766,322,D,0,0.1
58,Instant Pot Multi-Cooker,Home,529,286,D,0,0.14
59,Ride On Car Battery 6V,Toys,1835,42,D,0,0.17
60,Fitness Tracker Watch,Sports,1410,438,D,0,0.09
61,Camping Lantern Collapsible,Sports,1451,221,D,0,0.09
62,Fleece Jacket Half Zip,Clothing,687,11,D,0,0.13
63,Lint Roller Pet Hair 2-Pack,Home,1823,67,T,0.15,0
64,Pencil Skirt Stretch Wool,Clothing,113,86,D,0,0.14
65,Shovel Compact Emergency,Automotive,1747,408,T,0.15,0
66,Leader Wire 30lb,Sports,1946,246,T,0.15,0
67,"Raised Bed Kit 4'x4'x12""",Garden,1730,257,T,0.15,0
68,Blazer Slim Fit Charcoal,Clothing,579,16,D,0,0.06
69,The Ocean at End of Lane,Books,1628,282,T,0.15,0
70,Stamps Roll Forever 100ct,Office,980,72,D,0,0.02
71,Stapler Heavy Duty 20 Sheet,Office,1964,171,D,0,0.06
72,Dry Bag Roll Top 5L,Sports,1799,326,T,0.15,0
73,The Lost World Jurassic Park,Books,943,141,D,0,0.06
74,The Catcher in the Rye,Books,707,313,D,0,0.05
75,Stopwatch Lap Memory,Sports,1993,163,D,0,0.09
76,Canned Chickpeas 15oz,Perishables,837,198,S,0,0
