OrderID,WarehouseID,ProductID,ProductType,Category,Quantity,FinalPrice,ItemStatus,OrderStatus
26,1,3,Taxable,Beauty,2,918.85,SUCCESS,SUCCESS
21,1,6,Taxable,Office,5,2643.85,SUCCESS,SUCCESS
21,1,23,Discounted,Garden,5,237.015,SUCCESS,SUCCESS
21,1,27,Taxable,Automotive,4,148.35,SUCCESS,SUCCESS
21,1,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
31,1,38,Discounted,Garden,4,412.965,SUCCESS,SUCCESS
28,1,20,Discounted,Toys,1,272.722,SUCCESS,SUCCESS
28,1,22,Discounted,Beauty,1,191.268,SUCCESS,SUCCESS
29,1,8,Taxable,Home,2,2873.85,SUCCESS,SUCCESS
32,1,12,Taxable,Electronics,3,1608.85,SUCCESS,SUCCESS
32,1,27,Taxable,Automotive,5,148.35,SUCCESS,SUCCESS
32,1,28,Taxable,Beauty,1,125.35,SUCCESS,SUCCESS
32,1,40,Taxable,Office,1,378.35,SUCCESS,SUCCESS
25,1,3,Taxable,Beauty,1,918.85,SUCCESS,SUCCESS
11,1,37,Discounted,Office,4,253.172,SUCCESS,SUCCESS
25,1,9,Taxable,Office,2,228.85,SUCCESS,SUCCESS
24,1,21,Discounted,Books,2,412.965,SUCCESS,SUCCESS
4,1,31,Taxable,Sports,3,90.85,SUCCESS,SUCCESS
6,1,26,Discounted,Sports,4,205.965,SUCCESS,SUCCESS
7,1,3,Taxable,Beauty,1,918.85,SUCCESS,SUCCESS
12,1,27,Taxable,Automotive,4,148.35,SUCCESS,SUCCESS
12,1,33,Discounted,Office,5,94.162,SUCCESS,SUCCESS
1,1,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
15,1,1,Taxable,Clothing,3,688.85,SUCCESS,SUCCESS
15,1,32,Discounted,Garden,3,64.4575,SUCCESS,SUCCESS
15,1,36,Discounted,Garden,5,79.948,SUCCESS,SUCCESS
7,1,8,Taxable,Home,3,2873.85,SUCCESS,SUCCESS
7,1,30,Taxable,Garden,2,205.85,SUCCESS,SUCCESS
10,1,2,Taxable,Electronics,5,1723.85,SUCCESS,SUCCESS
10,1,10,Taxable,Beauty,2,573.85,SUCCESS,SUCCESS
10,1,11,Taxable,Office,2,1033.85,SUCCESS,SUCCESS
10,1,13,Taxable,Books,3,861.35,SUCCESS,SUCCESS
29,1,12,Taxable,Electronics,5,1608.85,SUCCESS,SUCCESS
29,1,20,Discounted,Toys,4,272.722,SUCCESS,SUCCESS
29,1,21,Discounted,Books,1,412.965,SUCCESS,SUCCESS
30,1,7,Taxable,Automotive,1,746.35,SUCCESS,SUCCESS
30,1,9,Taxable,Office,4,228.85,SUCCESS,SUCCESS
30,1,18,Discounted,Garden,1,257.715,SUCCESS,SUCCESS
30,1,23,Discounted,Garden,2,237.015,SUCCESS,SUCCESS
23,1,40,Taxable,Office,3,378.35,SUCCESS,SUCCESS
27,1,28,Taxable,Beauty,4,125.35,SUCCESS,SUCCESS
27,1,32,Discounted,Garden,2,64.4575,SUCCESS,SUCCESS
27,1,37,Discounted,Office,4,253.172,SUCCESS,SUCCESS
17,1,36,Discounted,Garden,5,79.948,SUCCESS,SUCCESS
20,1,35,Standard,Perishables,2,69,SUCCESS,SUCCESS
20,1,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
13,1,24,Discounted,Garden,1,341.147,SUCCESS,SUCCESS
13,1,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
9,1,7,Taxable,Automotive,4,746.35,SUCCESS,SUCCESS
9,1,29,Taxable,Automotive,2,113.85,SUCCESS,SUCCESS
9,1,32,Discounted,Garden,4,64.4575,SUCCESS,SUCCESS
3,1,28,Taxable,Beauty,1,125.35,SUCCESS,SUCCESS
22,1,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
14,1,28,Taxable,Beauty,4,125.35,SUCCESS,SUCCESS
2,1,2,Taxable,Electronics,5,1723.85,SUCCESS,SUCCESS
2,1,9,Taxable,Office,2,228.85,SUCCESS,SUCCESS
2,1,20,Discounted,Toys,1,272.722,SUCCESS,SUCCESS
2,1,25,Discounted,Electronics,5,643.08,SUCCESS,SUCCESS
8,1,12,Taxable,Electronics,3,1608.85,SUCCESS,SUCCESS
18,1,17,Discounted,Toys,2,555.588,SUCCESS,SUCCESS
16,1,11,Taxable,Office,5,1033.85,SUCCESS,SUCCESS
16,1,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
16,1,39,Discounted,Home,5,305.762,SUCCESS,SUCCESS
5,1,4,Taxable,Sports,5,1148.85,SUCCESS,SUCCESS
5,1,36,Discounted,Garden,3,79.948,SUCCESS,SUCCESS
19,1,38,Discounted,Garden,5,412.965,SUCCESS,SUCCESS
25,1,10,Taxable,Beauty,1,573.85,SUCCESS,SUCCESS
49,1,7,Taxable,Automotive,1,746.35,SUCCESS,SUCCESS
51,1,5,Taxable,Home,3,1378.85,SUCCESS,SUCCESS
49,1,17,Discounted,Toys,2,555.588,SUCCESS,SUCCESS
51,1,8,Taxable,Home,1,2873.85,SUCCESS,SUCCESS
46,1,34,Discounted,Beauty,4,49.1625,SUCCESS,SUCCESS
47,1,38,Discounted,Garden,2,412.965,SUCCESS,SUCCESS
38,1,1,Taxable,Clothing,5,688.85,SUCCESS,SUCCESS
38,1,5,Taxable,Home,3,1378.85,SUCCESS,SUCCESS
38,1,27,Taxable,Automotive,5,148.35,SUCCESS,SUCCESS
38,1,29,Taxable,Automotive,2,113.85,SUCCESS,SUCCESS
35,1,10,Taxable,Beauty,5,573.85,SUCCESS,SUCCESS
43,1,7,Taxable,Automotive,4,746.35,SUCCESS,SUCCESS
45,1,6,Taxable,Office,3,2643.85,SUCCESS,SUCCESS
40,1,5,Taxable,Home,3,1378.85,SUCCESS,SUCCESS
40,1,11,Taxable,Office,3,1033.85,SUCCESS,SUCCESS
40,1,27,Taxable,Automotive,2,148.35,SUCCESS,SUCCESS
40,1,29,Taxable,Automotive,5,113.85,SUCCESS,SUCCESS
41,1,4,Taxable,Sports,4,1148.85,SUCCESS,SUCCESS
49,1,31,Taxable,Sports,4,90.85,SUCCESS,SUCCESS
48,1,37,Discounted,Office,1,253.172,SUCCESS,SUCCESS
45,1,13,Taxable,Books,2,861.35,SUCCESS,SUCCESS
51,1,39,Discounted,Home,5,305.762,SUCCESS,SUCCESS
45,1,28,Taxable,Beauty,1,125.35,SUCCESS,SUCCESS
36,1,13,Taxable,Books,2,861.35,SUCCESS,SUCCESS
45,1,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
39,1,12,Taxable,Electronics,3,1608.85,SUCCESS,SUCCESS
51,1,40,Taxable,Office,1,378.35,SUCCESS,SUCCESS
39,1,21,Discounted,Books,5,412.965,SUCCESS,SUCCESS
39,1,27,Taxable,Automotive,5,148.35,SUCCESS,SUCCESS
36,1,27,Taxable,Automotive,3,148.35,SUCCESS,SUCCESS
34,1,3,Taxable,Beauty,4,918.85,SUCCESS,SUCCESS
34,1,36,Discounted,Garden,1,79.948,SUCCESS,SUCCESS
52,1,20,Discounted,Toys,5,272.722,SUCCESS,SUCCESS
50,1,9,Taxable,Office,3,228.85,SUCCESS,SUCCESS
50,1,18,Discounted,Garden,3,257.715,SUCCESS,SUCCESS
50,1,30,Taxable,Garden,1,205.85,SUCCESS,SUCCESS
42,1,1,Taxable,Clothing,2,688.85,SUCCESS,SUCCESS
33,1,7,Taxable,Automotive,5,746.35,SUCCESS,SUCCESS
44,1,27,Taxable,Automotive,1,148.35,SUCCESS,SUCCESS
37,1,10,Taxable,Beauty,4,573.85,SUCCESS,SUCCESS
68,1,33,Discounted,Office,5,94.162,SUCCESS,SUCCESS
71,1,6,Taxable,Office,2,2643.85,SUCCESS,SUCCESS
62,1,35,Standard,Perishables,2,69,SUCCESS,SUCCESS
57,1,13,Taxable,Books,2,861.35,SUCCESS,SUCCESS
55,1,25,Discounted,Electronics,4,643.08,SUCCESS,SUCCESS
54,1,29,Taxable,Automotive,1,113.85,SUCCESS,SUCCESS
56,1,19,Discounted,Automotive,5,168.222,SUCCESS,SUCCESS
56,1,31,Taxable,Sports,3,90.85,SUCCESS,SUCCESS
56,1,38,Discounted,Garden,4,412.965,SUCCESS,SUCCESS
56,1,39,Discounted,Home,5,305.762,SUCCESS,SUCCESS
66,1,30,Taxable,Garden,5,205.85,SUCCESS,SUCCESS
66,1,34,Discounted,Beauty,5,49.1625,SUCCESS,SUCCESS
67,1,27,Taxable,Automotive,4,148.35,SUCCESS,SUCCESS
69,1,12,Taxable,Electronics,1,1608.85,SUCCESS,SUCCESS
67,1,35,Standard,Perishables,4,69,SUCCESS,SUCCESS
67,1,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
59,1,31,Taxable,Sports,5,90.85,SUCCESS,SUCCESS
63,1,3,Taxable,Beauty,5,918.85,SUCCESS,SUCCESS
63,1,36,Discounted,Garden,4,79.948,SUCCESS,SUCCESS
78,1,28,Taxable,Beauty,1,125.35,SUCCESS,SUCCESS
64,1,6,Taxable,Office,1,2643.85,SUCCESS,SUCCESS
64,1,31,Taxable,Sports,4,90.85,SUCCESS,SUCCESS
64,1,36,Discounted,Garden,2,79.948,SUCCESS,SUCCESS
64,1,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
74,1,27,Taxable,Automotive,5,148.35,SUCCESS,SUCCESS
80,1,1,Taxable,Clothing,3,688.85,SUCCESS,SUCCESS
80,1,27,Taxable,Automotive,2,148.35,SUCCESS,SUCCESS
70,1,11,Taxable,Office,3,1033.85,SUCCESS,SUCCESS
79,1,3,Taxable,Beauty,3,918.85,SUCCESS,SUCCESS
79,1,9,Taxable,Office,4,228.85,SUCCESS,SUCCESS
79,1,17,Discounted,Toys,3,555.588,SUCCESS,SUCCESS
80,1,40,Taxable,Office,1,378.35,SUCCESS,SUCCESS
60,1,30,Taxable,Garden,3,205.85,SUCCESS,SUCCESS
75,1,24,Discounted,Garden,3,341.147,SUCCESS,SUCCESS
73,1,17,Discounted,Toys,3,555.588,SUCCESS,SUCCESS
73,1,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
73,1,36,Discounted,Garden,1,79.948,SUCCESS,SUCCESS
72,1,14,Discounted,Sports,4,464.715,SUCCESS,SUCCESS
72,1,19,Discounted,Automotive,4,168.222,SUCCESS,SUCCESS
77,1,38,Discounted,Garden,5,412.965,SUCCESS,SUCCESS
76,1,18,Discounted,Garden,4,257.715,SUCCESS,SUCCESS
61,1,14,Discounted,Sports,2,464.715,SUCCESS,SUCCESS
58,1,29,Taxable,Automotive,3,113.85,SUCCESS,SUCCESS
53,1,1,Taxable,Clothing,2,688.85,SUCCESS,SUCCESS
53,1,27,Taxable,Automotive,4,148.35,SUCCESS,SUCCESS
53,1,32,Discounted,Garden,1,64.4575,SUCCESS,SUCCESS
53,1,38,Discounted,Garden,3,412.965,SUCCESS,SUCCESS
81,1,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
65,1,22,Discounted,Beauty,5,191.268,SUCCESS,SUCCESS
94,1,15,Discounted,Office,5,292.272,SUCCESS,SUCCESS
93,1,30,Taxable,Garden,3,205.85,SUCCESS,SUCCESS
95,1,10,Taxable,Beauty,2,573.85,SUCCESS,SUCCESS
90,1,14,Discounted,Sports,3,464.715,SUCCESS,SUCCESS
92,1,12,Taxable,Electronics,4,1608.85,SUCCESS,SUCCESS
95,1,13,Taxable,Books,2,861.35,SUCCESS,SUCCESS
88,1,11,Taxable,Office,2,1033.85,SUCCESS,SUCCESS
84,1,17,Discounted,Toys,5,555.588,SUCCESS,SUCCESS
84,1,28,Taxable,Beauty,2,125.35,SUCCESS,SUCCESS
89,1,12,Taxable,Electronics,4,1608.85,SUCCESS,SUCCESS
83,1,31,Taxable,Sports,3,90.85,SUCCESS,SUCCESS
90,1,23,Discounted,Garden,3,237.015,SUCCESS,SUCCESS
85,1,15,Discounted,Office,1,292.272,SUCCESS,SUCCESS
85,1,20,Discounted,Toys,5,272.722,SUCCESS,SUCCESS
85,1,34,Discounted,Beauty,3,49.1625,SUCCESS,SUCCESS
86,1,36,Discounted,Garden,4,79.948,SUCCESS,SUCCESS
95,1,32,Discounted,Garden,2,64.4575,SUCCESS,SUCCESS
90,1,24,Discounted,Garden,3,341.147,SUCCESS,SUCCESS
95,1,33,Discounted,Office,4,94.162,SUCCESS,SUCCESS
91,1,4,Taxable,Sports,4,1148.85,SUCCESS,SUCCESS
82,1,10,Taxable,Beauty,1,573.85,SUCCESS,SUCCESS
91,1,24,Discounted,Garden,4,341.147,SUCCESS,SUCCESS
91,1,32,Discounted,Garden,4,64.4575,SUCCESS,SUCCESS
91,1,39,Discounted,Home,2,305.762,SUCCESS,SUCCESS
82,1,23,Discounted,Garden,5,237.015,SUCCESS,SUCCESS
87,1,8,Taxable,Home,5,2873.85,SUCCESS,SUCCESS
87,1,26,Discounted,Sports,5,205.965,SUCCESS,SUCCESS
87,1,30,Taxable,Garden,4,205.85,SUCCESS,SUCCESS
84,1,38,Discounted,Garden,1,412.965,SUCCESS,SUCCESS
99,1,23,Discounted,Garden,3,237.015,SUCCESS,SUCCESS
97,1,12,Taxable,Electronics,2,1608.85,SUCCESS,SUCCESS
84,1,39,Discounted,Home,2,305.762,SUCCESS,SUCCESS
101,1,7,Taxable,Automotive,5,746.35,SUCCESS,SUCCESS
96,1,12,Taxable,Electronics,2,1608.85,SUCCESS,SUCCESS
96,1,13,Taxable,Books,1,861.35,SUCCESS,SUCCESS
96,1,16,Discounted,Office,3,154.215,SUCCESS,SUCCESS
96,1,35,Standard,Perishables,5,69,SUCCESS,SUCCESS
100,1,3,Taxable,Beauty,1,918.85,SUCCESS,SUCCESS
100,1,5,Taxable,Home,4,1378.85,SUCCESS,SUCCESS
98,1,5,Taxable,Home,1,1378.85,SUCCESS,SUCCESS
126,1,22,Discounted,Beauty,3,191.268,SUCCESS,SUCCESS
125,1,15,Discounted,Office,5,292.272,SUCCESS,SUCCESS
112,1,40,Taxable,Office,4,378.35,SUCCESS,SUCCESS
111,1,8,Taxable,Home,2,2873.85,SUCCESS,SUCCESS
116,1,22,Discounted,Beauty,1,191.268,SUCCESS,SUCCESS
111,1,25,Discounted,Electronics,5,643.08,SUCCESS,SUCCESS
109,1,38,Discounted,Garden,4,412.965,SUCCESS,SUCCESS
111,1,28,Taxable,Beauty,4,125.35,SUCCESS,SUCCESS
111,1,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
114,1,11,Taxable,Office,1,1033.85,SUCCESS,SUCCESS
110,1,20,Discounted,Toys,5,272.722,SUCCESS,SUCCESS
104,1,13,Taxable,Books,2,861.35,SUCCESS,SUCCESS
119,1,25,Discounted,Electronics,3,643.08,SUCCESS,SUCCESS
107,1,20,Discounted,Toys,5,272.722,SUCCESS,SUCCESS
103,1,29,Taxable,Automotive,5,113.85,SUCCESS,SUCCESS
124,1,28,Taxable,Beauty,2,125.35,SUCCESS,SUCCESS
115,1,36,Discounted,Garden,1,79.948,SUCCESS,SUCCESS
104,1,29,Taxable,Automotive,3,113.85,SUCCESS,SUCCESS
104,1,33,Discounted,Office,1,94.162,SUCCESS,SUCCESS
104,1,40,Taxable,Office,2,378.35,SUCCESS,SUCCESS
102,1,40,Taxable,Office,1,378.35,SUCCESS,SUCCESS
123,1,15,Discounted,Office,5,292.272,SUCCESS,SUCCESS
122,1,36,Discounted,Garden,3,79.948,SUCCESS,SUCCESS
113,1,12,Taxable,Electronics,1,1608.85,SUCCESS,SUCCESS
118,1,4,Taxable,Sports,1,1148.85,SUCCESS,SUCCESS
113,1,14,Discounted,Sports,4,464.715,SUCCESS,SUCCESS
118,1,27,Taxable,Automotive,4,148.35,SUCCESS,SUCCESS
113,1,31,Taxable,Sports,5,90.85,SUCCESS,SUCCESS
118,1,38,Discounted,Garden,4,412.965,SUCCESS,SUCCESS
108,1,3,Taxable,Beauty,3,918.85,SUCCESS,SUCCESS
118,1,40,Taxable,Office,2,378.35,SUCCESS,SUCCESS
128,1,2,Taxable,Electronics,4,1723.85,SUCCESS,SUCCESS
120,1,40,Taxable,Office,2,378.35,SUCCESS,SUCCESS
117,1,9,Taxable,Office,4,228.85,SUCCESS,SUCCESS
108,1,7,Taxable,Automotive,5,746.35,SUCCESS,SUCCESS
127,1,28,Taxable,Beauty,2,125.35,SUCCESS,SUCCESS
117,1,27,Taxable,Automotive,4,148.35,SUCCESS,SUCCESS
117,1,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
106,1,3,Taxable,Beauty,3,918.85,SUCCESS,SUCCESS
124,1,36,Discounted,Garden,4,79.948,SUCCESS,SUCCESS
106,1,10,Taxable,Beauty,5,573.85,SUCCESS,SUCCESS
105,1,7,Taxable,Automotive,5,746.35,SUCCESS,SUCCESS
105,1,19,Discounted,Automotive,4,168.222,SUCCESS,SUCCESS
129,1,17,Discounted,Toys,2,555.588,SUCCESS,SUCCESS
110,1,27,Taxable,Automotive,3,148.35,SUCCESS,SUCCESS
110,1,28,Taxable,Beauty,3,125.35,SUCCESS,SUCCESS
110,1,37,Discounted,Office,1,253.172,SUCCESS,SUCCESS
121,1,17,Discounted,Toys,5,555.588,SUCCESS,SUCCESS
148,1,34,Discounted,Beauty,2,49.1625,SUCCESS,SUCCESS
150,1,9,Taxable,Office,2,228.85,SUCCESS,SUCCESS
144,1,11,Taxable,Office,4,1033.85,SUCCESS,SUCCESS
145,1,10,Taxable,Beauty,5,573.85,SUCCESS,SUCCESS
144,1,20,Discounted,Toys,2,272.722,SUCCESS,SUCCESS
147,1,12,Taxable,Electronics,1,1608.85,SUCCESS,SUCCESS
147,1,27,Taxable,Automotive,5,148.35,SUCCESS,SUCCESS
144,1,30,Taxable,Garden,3,205.85,SUCCESS,SUCCESS
147,1,31,Taxable,Sports,4,90.85,SUCCESS,SUCCESS
134,1,5,Taxable,Home,1,1378.85,SUCCESS,SUCCESS
134,1,32,Discounted,Garden,1,64.4575,SUCCESS,SUCCESS
134,1,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
134,1,40,Taxable,Office,2,378.35,SUCCESS,SUCCESS
131,1,22,Discounted,Beauty,4,191.268,SUCCESS,SUCCESS
131,1,26,Discounted,Sports,2,205.965,SUCCESS,SUCCESS
132,1,4,Taxable,Sports,3,1148.85,SUCCESS,SUCCESS
130,1,6,Taxable,Office,5,2643.85,SUCCESS,SUCCESS
138,1,29,Taxable,Automotive,2,113.85,SUCCESS,SUCCESS
139,1,6,Taxable,Office,4,2643.85,SUCCESS,SUCCESS
151,1,29,Taxable,Automotive,1,113.85,SUCCESS,SUCCESS
142,1,38,Discounted,Garden,5,412.965,SUCCESS,SUCCESS
140,1,11,Taxable,Office,1,1033.85,SUCCESS,SUCCESS
133,1,13,Taxable,Books,1,861.35,SUCCESS,SUCCESS
133,1,17,Discounted,Toys,5,555.588,SUCCESS,SUCCESS
133,1,32,Discounted,Garden,5,64.4575,SUCCESS,SUCCESS
133,1,33,Discounted,Office,1,94.162,SUCCESS,SUCCESS
135,1,6,Taxable,Office,4,2643.85,SUCCESS,SUCCESS
135,1,17,Discounted,Toys,5,555.588,SUCCESS,SUCCESS
136,1,7,Taxable,Automotive,1,746.35,SUCCESS,SUCCESS
168,1,2,Taxable,Electronics,3,1723.85,SUCCESS,SUCCESS
165,1,28,Taxable,Beauty,1,125.35,SUCCESS,SUCCESS
165,1,32,Discounted,Garden,4,64.4575,SUCCESS,SUCCESS
152,1,4,Taxable,Sports,2,1148.85,SUCCESS,SUCCESS
152,1,12,Taxable,Electronics,2,1608.85,SUCCESS,SUCCESS
160,1,5,Taxable,Home,2,1378.85,SUCCESS,SUCCESS
152,1,32,Discounted,Garden,4,64.4575,SUCCESS,SUCCESS
163,1,2,Taxable,Electronics,2,1723.85,SUCCESS,SUCCESS
163,1,5,Taxable,Home,1,1378.85,SUCCESS,SUCCESS
