OrderID,WarehouseID,ProductID,ProductType,Category,Quantity,FinalPrice,ItemStatus,OrderStatus
27,5,13,Taxable,Books,2,861.35,SUCCESS,SUCCESS
32,5,11,Taxable,Office,1,1033.85,SUCCESS,SUCCESS
24,5,33,Discounted,Office,3,94.162,SUCCESS,SUCCESS
17,5,40,Taxable,Office,3,378.35,SUCCESS,SUCCESS
12,5,36,Discounted,Garden,5,79.948,SUCCESS,SUCCESS
8,5,3,Taxable,Beauty,2,918.85,SUCCESS,SUCCESS
9,5,32,Discounted,Garden,1,64.4575,SUCCESS,SUCCESS
7,5,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
31,5,30,Taxable,Garden,5,205.85,SUCCESS,SUCCESS
30,5,5,Taxable,Home,4,1378.85,SUCCESS,SUCCESS
19,5,14,Discounted,Sports,1,464.715,SUCCESS,SUCCESS
16,5,36,Discounted,Garden,2,79.948,SUCCESS,SUCCESS
20,5,39,Discounted,Home,4,305.762,SUCCESS,SUCCESS
4,5,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
1,5,32,Discounted,Garden,1,64.4575,SUCCESS,SUCCESS
26,5,38,Discounted,Garden,1,412.965,SUCCESS,SUCCESS
29,5,2,Taxable,Electronics,1,1723.85,SUCCESS,SUCCESS
23,5,23,Discounted,Garden,5,237.015,SUCCESS,SUCCESS
10,5,2,Taxable,Electronics,3,1723.85,SUCCESS,SUCCESS
3,5,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
15,5,18,Discounted,Garden,5,257.715,SUCCESS,SUCCESS
28,5,36,Discounted,Garden,5,79.948,SUCCESS,SUCCESS
18,5,6,Taxable,Office,1,2643.85,SUCCESS,SUCCESS
11,5,23,Discounted,Garden,4,237.015,SUCCESS,SUCCESS
5,5,29,Taxable,Automotive,3,113.85,SUCCESS,SUCCESS
25,5,29,Taxable,Automotive,1,113.85,SUCCESS,SUCCESS
2,5,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
22,5,35,Standard,Perishables,4,69,SUCCESS,SUCCESS
21,5,36,Discounted,Garden,3,79.948,SUCCESS,SUCCESS
13,5,26,Discounted,Sports,5,205.965,SUCCESS,SUCCESS
14,5,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
6,5,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
34,5,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
39,5,29,Taxable,Automotive,5,113.85,SUCCESS,SUCCESS
61,5,7,Taxable,Automotive,3,746.35,SUCCESS,SUCCESS
58,5,25,Discounted,Electronics,2,643.08,SUCCESS,SUCCESS
59,5,38,Discounted,Garden,2,412.965,SUCCESS,SUCCESS
62,5,21,Discounted,Books,1,412.965,SUCCESS,SUCCESS
54,5,11,Taxable,Office,2,1033.85,SUCCESS,SUCCESS
35,5,33,Discounted,Office,4,94.162,SUCCESS,SUCCESS
56,5,34,Discounted,Beauty,1,49.1625,SUCCESS,SUCCESS
48,5,30,Taxable,Garden,3,205.85,SUCCESS,SUCCESS
51,5,34,Discounted,Beauty,3,49.1625,SUCCESS,SUCCESS
52,5,37,Discounted,Office,4,253.172,SUCCESS,SUCCESS
45,5,32,Discounted,Garden,3,64.4575,SUCCESS,SUCCESS
46,5,39,Discounted,Home,2,305.762,SUCCESS,SUCCESS
36,5,15,Discounted,Office,2,292.272,SUCCESS,SUCCESS
41,5,20,Discounted,Toys,5,272.722,SUCCESS,SUCCESS
42,5,38,Discounted,Garden,4,412.965,SUCCESS,SUCCESS
37,5,37,Discounted,Office,5,253.172,SUCCESS,SUCCESS
43,5,35,Standard,Perishables,1,69,SUCCESS,SUCCESS
38,5,30,Taxable,Garden,4,205.85,SUCCESS,SUCCESS
40,5,35,Standard,Perishables,2,69,SUCCESS,SUCCESS
44,5,40,Taxable,Office,4,378.35,SUCCESS,SUCCESS
64,5,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
63,5,15,Discounted,Office,5,292.272,SUCCESS,SUCCESS
60,5,33,Discounted,Office,4,94.162,SUCCESS,SUCCESS
57,5,29,Taxable,Automotive,1,113.85,SUCCESS,SUCCESS
55,5,29,Taxable,Automotive,1,113.85,SUCCESS,SUCCESS
53,5,11,Taxable,Office,3,1033.85,SUCCESS,SUCCESS
50,5,36,Discounted,Garden,1,79.948,SUCCESS,SUCCESS
49,5,31,Taxable,Sports,4,90.85,SUCCESS,SUCCESS
47,5,28,Taxable,Beauty,5,125.35,SUCCESS,SUCCESS
33,5,5,Taxable,Home,4,1378.85,SUCCESS,SUCCESS
66,5,39,Discounted,Home,4,305.762,SUCCESS,SUCCESS
68,5,29,Taxable,Automotive,3,113.85,SUCCESS,SUCCESS
65,5,37,Discounted,Office,5,253.172,SUCCESS,SUCCESS
71,5,31,Taxable,Sports,4,90.85,SUCCESS,SUCCESS
67,5,13,Taxable,Books,4,861.35,SUCCESS,SUCCESS
73,5,37,Discounted,Office,4,253.172,SUCCESS,SUCCESS
75,5,25,Discounted,Electronics,1,643.08,SUCCESS,SUCCESS
70,5,35,Standard,Perishables,5,69,SUCCESS,SUCCESS
72,5,29,Taxable,Automotive,5,113.85,SUCCESS,SUCCESS
74,5,4,Taxable,Sports,5,1148.85,SUCCESS,SUCCESS
69,5,37,Discounted,Office,3,253.172,SUCCESS,SUCCESS
96,5,33,Discounted,Office,4,94.162,SUCCESS,SUCCESS
93,5,37,Discounted,Office,2,253.172,SUCCESS,SUCCESS
