OrderID,WarehouseID,ProductID,ProductType,Category,Quantity,FinalPrice,ItemStatus,OrderStatus
729,3,35,Standard,Perishables,3,69,SUCCESS,PARTIAL
734,3,40,Taxable,Office,3,378.35,FAILED,FAILED
739,3,22,Discounted,Beauty,3,191.268,SUCCESS,SUCCESS
737,3,38,Discounted,Garden,4,412.965,FAILED,PARTIAL
738,3,4,Taxable,Sports,1,1148.85,FAILED,FAILED
735,3,7,Taxable,Automotive,5,746.35,FAILED,FAILED
733,3,9,Taxable,Office,2,228.85,SUCCESS,SUCCESS
721,3,24,Discounted,Garden,3,341.147,SUCCESS,PARTIAL
716,3,20,Discounted,Toys,4,272.722,SUCCESS,SUCCESS
727,3,27,Taxable,Automotive,4,148.35,SUCCESS,SUCCESS
736,3,31,Taxable,Sports,4,90.85,FAILED,FAILED
728,3,31,Taxable,Sports,1,90.85,FAILED,FAILED
722,3,26,Discounted,Sports,4,205.965,SUCCESS,SUCCESS
717,3,39,Discounted,Home,5,305.762,SUCCESS,SUCCESS
725,3,25,Discounted,Electronics,1,643.08,FAILED,FAILED
726,3,29,Taxable,Automotive,1,113.85,SUCCESS,PARTIAL
723,3,15,Discounted,Office,4,292.272,SUCCESS,SUCCESS
724,3,10,Taxable,Beauty,2,573.85,SUCCESS,SUCCESS
714,3,6,Taxable,Office,4,2643.85,FAILED,FAILED
710,3,29,Taxable,Automotive,2,113.85,SUCCESS,PARTIAL
769,3,37,Discounted,Office,1,253.172,FAILED,PARTIAL
760,3,17,Discounted,Toys,3,555.588,FAILED,FAILED
764,3,36,Discounted,Garden,4,79.948,SUCCESS,PARTIAL
742,3,20,Discounted,Toys,3,272.722,SUCCESS,SUCCESS
765,3,38,Discounted,Garden,5,412.965,FAILED,PARTIAL
740,3,37,Discounted,Office,3,253.172,FAILED,PARTIAL
741,3,4,Taxable,Sports,1,1148.85,FAILED,FAILED
772,3,32,Discounted,Garden,2,64.4575,SUCCESS,SUCCESS
774,3,37,Discounted,Office,3,253.172,FAILED,PARTIAL
797,3,39,Discounted,Home,1,305.762,SUCCESS,PARTIAL
787,3,27,Taxable,Automotive,5,148.35,SUCCESS,SUCCESS
784,3,35,Standard,Perishables,2,69,SUCCESS,SUCCESS
790,3,32,Discounted,Garden,1,64.4575,SUCCESS,SUCCESS
782,3,9,Taxable,Office,4,228.85,SUCCESS,SUCCESS
779,3,27,Taxable,Automotive,1,148.35,SUCCESS,SUCCESS
777,3,18,Discounted,Garden,2,257.715,SUCCESS,SUCCESS
780,3,39,Discounted,Home,3,305.762,SUCCESS,SUCCESS
778,3,36,Discounted,Garden,4,79.948,FAILED,PARTIAL
822,3,38,Discounted,Garden,5,412.965,FAILED,PARTIAL
819,3,19,Discounted,Automotive,5,168.222,SUCCESS,SUCCESS
811,3,39,Discounted,Home,1,305.762,FAILED,FAILED
825,3,32,Discounted,Garden,3,64.4575,SUCCESS,SUCCESS
814,3,32,Discounted,Garden,2,64.4575,SUCCESS,SUCCESS
798,3,36,Discounted,Garden,1,79.948,SUCCESS,PARTIAL
816,3,31,Taxable,Sports,3,90.85,FAILED,PARTIAL
813,3,38,Discounted,Garden,2,412.965,FAILED,FAILED
832,3,12,Taxable,Electronics,4,1608.85,FAILED,FAILED
831,3,28,Taxable,Beauty,4,125.35,SUCCESS,SUCCESS
862,3,39,Discounted,Home,1,305.762,FAILED,PARTIAL
860,3,38,Discounted,Garden,5,412.965,FAILED,PARTIAL
861,3,34,Discounted,Beauty,2,49.1625,SUCCESS,SUCCESS
835,3,5,Taxable,Home,4,1378.85,FAILED,FAILED
851,3,40,Taxable,Office,3,378.35,FAILED,PARTIAL
853,3,36,Discounted,Garden,2,79.948,FAILED,PARTIAL
859,3,39,Discounted,Home,1,305.762,FAILED,FAILED
858,3,38,Discounted,Garden,4,412.965,FAILED,FAILED
886,3,26,Discounted,Sports,5,205.965,SUCCESS,SUCCESS
888,3,5,Taxable,Home,3,1378.85,FAILED,FAILED
864,3,36,Discounted,Garden,2,79.948,FAILED,PARTIAL
881,3,15,Discounted,Office,2,292.272,SUCCESS,SUCCESS
884,3,16,Discounted,Office,2,154.215,SUCCESS,SUCCESS
893,3,17,Discounted,Toys,1,555.588,FAILED,FAILED
891,3,38,Discounted,Garden,2,412.965,FAILED,FAILED
872,3,26,Discounted,Sports,2,205.965,SUCCESS,SUCCESS
870,3,36,Discounted,Garden,5,79.948,FAILED,PARTIAL
875,3,7,Taxable,Automotive,5,746.35,FAILED,FAILED
896,3,30,Taxable,Garden,1,205.85,FAILED,PARTIAL
900,3,36,Discounted,Garden,5,79.948,FAILED,PARTIAL
915,3,5,Taxable,Home,1,1378.85,FAILED,FAILED
911,3,33,Discounted,Office,4,94.162,FAILED,PARTIAL
907,3,34,Discounted,Beauty,3,49.1625,SUCCESS,PARTIAL
913,3,39,Discounted,Home,5,305.762,FAILED,FAILED
909,3,30,Taxable,Garden,5,205.85,FAILED,FAILED
901,3,33,Discounted,Office,2,94.162,SUCCESS,SUCCESS
908,3,20,Discounted,Toys,1,272.722,SUCCESS,SUCCESS
910,3,16,Discounted,Office,5,154.215,SUCCESS,SUCCESS
962,3,9,Taxable,Office,1,228.85,SUCCESS,SUCCESS
958,3,37,Discounted,Office,5,253.172,FAILED,PARTIAL
952,3,37,Discounted,Office,4,253.172,FAILED,FAILED
955,3,23,Discounted,Garden,1,237.015,SUCCESS,SUCCESS
943,3,32,Discounted,Garden,2,64.4575,SUCCESS,PARTIAL
949,3,33,Discounted,Office,2,94.162,FAILED,PARTIAL
942,3,22,Discounted,Beauty,5,191.268,SUCCESS,SUCCESS
929,3,26,Discounted,Sports,1,205.965,SUCCESS,SUCCESS
938,3,29,Taxable,Automotive,5,113.85,FAILED,FAILED
946,3,29,Taxable,Automotive,5,113.85,FAILED,PARTIAL
967,3,27,Taxable,Automotive,5,148.35,SUCCESS,SUCCESS
968,3,33,Discounted,Office,4,94.162,FAILED,FAILED
965,3,32,Discounted,Garden,3,64.4575,SUCCESS,SUCCESS
966,3,36,Discounted,Garden,5,79.948,FAILED,FAILED
969,3,9,Taxable,Office,4,228.85,SUCCESS,SUCCESS
970,3,34,Discounted,Beauty,4,49.1625,SUCCESS,PARTIAL
963,3,37,Discounted,Office,5,253.172,FAILED,FAILED
964,3,16,Discounted,Office,2,154.215,SUCCESS,SUCCESS
992,3,11,Taxable,Office,3,1033.85,FAILED,FAILED
991,3,35,Standard,Perishables,2,69,FAILED,FAILED
990,3,9,Taxable,Office,4,228.85,SUCCESS,SUCCESS
989,3,21,Discounted,Books,4,412.965,SUCCESS,SUCCESS
993,3,28,Taxable,Beauty,2,125.35,SUCCESS,SUCCESS
994,3,36,Discounted,Garden,4,79.948,FAILED,PARTIAL
986,3,3,Taxable,Beauty,3,918.85,FAILED,FAILED
982,3,35,Standard,Perishables,4,69,FAILED,PARTIAL
985,3,28,Taxable,Beauty,5,125.35,SUCCESS,PARTIAL
988,3,37,Discounted,Office,3,253.172,FAILED,FAILED
980,3,24,Discounted,Garden,2,341.147,FAILED,FAILED
984,3,7,Taxable,Automotive,4,746.35,FAILED,FAILED
977,3,25,Discounted,Electronics,3,643.08,FAILED,FAILED
987,3,39,Discounted,Home,5,305.762,FAILED,FAILED
