1,Gloves Touchscreen Compatible,599,0,T,0.15,0
2,Wi-Fi Range Extender,1499,0,T,0.15,0
3,Q-Tips Safety Swabs 500ct,799,0,T,0.15,0
4,Vibration Plate Whole Body,999,0,T,0.15,0
5,Clothes Drying Rack Foldable,1199,0,T,0.15,0
6,Binding Machine Comb 300 Sheet,2299,0,T,0.15,0
7,Car Cover Waterproof,649,0,T,0.15,0
8,Digital Alarm Clock Radio,2499,0,T,0.15,0
9,Brush Pen Calligraphy Black,199,6,T,0.15,0
10,Exfoliating Scrub Walnut,499,0,T,0.15,0
11,Speakerphone Bluetooth Conference,899,0,T,0.15,0
12,Portable Power Bank 20000mAh,1399,0,T,0.15,0
13,Knuffle Bunny Free,749,0,T,0.15,0
14,Lat Pulldown Bar,449,2,D,0,0.1
15,Photo Album 4x6 200 Pockets,299,4,D,0,0.15
16,Marker Fine Point Black 12pk,149,65,D,0,0.1
17,Markers Washable Broad Line,549,0,D,0,0.12
18,Wall Mounted Planter 2 Piece,249,39,D,0,0.1
19,Tail Light LED Black,159,97,D,0,0.08
20,Kinetic Sand 2lb,279,0,D,0,0.15
21,Daring Greatly Brené Brown,399,0,D,0,0.1
22,Callus Remover Electric Roller,189,0,D,0,0.12
23,"Peat Pots 3"" 50ct",229,0,D,0,0.1
24,Weeder Long Handle,349,0,D,0,0.15
25,Graphing Calculator,699,0,D,0,0.2
26,Armband Phone Case,199,15,D,0,0.1
27,Jump Starter 2000A,129,30,T,0.15,0
28,Fake Tan Remover Eraser,109,49,T,0.15,0
29,Parking Brake Handle,99,0,T,0.15,0
30,Transplanting Spade,179,0,T,0.15,0
31,Treadmill Folding 2.5HP,79,0,T,0.15,0
32,Copper Fungicide 16oz,59,0,D,0,0.05
33,Badge Holder Vertical 10ct,89,0,D,0,0.08
34,Cuticle Pusher Stainless,45,66,D,0,0.05
35,Hot Sauce Habanero,69,0,S,0,0
36,Butterfly Feeder Glass,79,0,D,0,0.12
37,"Lanyard Black 36"" 12ct",259,0,D,0,0.15
38,Hedge Shears Wavy Blade,399,0,D,0,0.1
39,Wastebasket Stainless Steel,289,0,D,0,0.08
40,Notebook College Ruled 100 Sheets,329,0,T,0.15,0
41,Trench Coat Double Breasted,1599,20,D,0,0.08
42,Tool Belt Toy Plastic,717,115,T,0.15,0
43,Fake Smartphone Touchscreen,1639,232,D,0,0.12
44,"Globe Illuminated 12""",1566,191,D,0,0.11
45,Multimeter Digital Auto-Ranging,330,69,T,0.15,0
46,"Scotch Tape Magic 3/4"" x 1000""",406,389,D,0,0.06
47,Garment Bag Suit Travel,1696,291,D,0,0.09
48,Camping Chair Oversized,1590,377,D,0,0.05
49,Pumice Stone Natural,422,204,D,0,0.18
50,Paper Shredder 12 Sheet Cross Cut,373,37,D,0,0.08
51,Dinosaur Toy Roaring,875,402,D,0,0.02
52,Brake Fluid DOT 4,1333,45,D,0,0.18
53,Triceps Rope Attachment,1689,394,D,0,0.03
54,Pogo Stick Adjustable,754,31,D,0,0.17
55,USB Flash Drive 128GB,1138,69,T,0.15,0
56,Emergency Road Flares,422,279,D,0,0.17
57,Garden Fork Pitch,766,322,D,0,0.1
58,Instant Pot Multi-Cooker,529,286,D,0,0.14
59,Ride On Car Battery 6V,1835,42,D,0,0.17
60,Fitness Tracker Watch,1410,438,D,0,0.09
61,Camping Lantern Collapsible,1451,221,D,0,0.09
62,Fleece Jacket Half Zip,687,11,D,0,0.13
63,Lint Roller Pet Hair 2-Pack,1823,67,T,0.15,0
64,Pencil Skirt Stretch Wool,113,86,D,0,0.14
65,Shovel Compact Emergency,1747,408,T,0.15,0
66,Leader Wire 30lb,1946,246,T,0.15,0
67,"Raised Bed Kit 4'x4'x12""",1730,257,T,0.15,0
68,Blazer Slim Fit Charcoal,579,16,D,0,0.06
69,The Ocean at End of Lane,1628,282,T,0.15,0
70,Stamps Roll Forever 100ct,980,72,D,0,0.02
71,Stapler Heavy Duty 20 Sheet,1964,171,D,0,0.06
72,Dry Bag Roll Top 5L,1799,326,T,0.15,0
73,The Lost World Jurassic Park,943,141,D,0,0.06
74,The Catcher in the Rye,707,313,D,0,0.05
75,Stopwatch Lap Memory,1993,163,D,0,0.09
76,Canned Chickpeas 15oz,837,198,S,0,0
77,Ratchet Straps 4 Pack,163,172,D,0,0.05
78,Paprika Smoked,599,293,S,0,0
79,Vanilla Extract Pure 4oz,1196,94,S,0,0
80,Electronic Door Lock Keypad,217,352,D,0,0.1
81,Harry Potter Order of Phoenix,1004,122,D,0,0.02
82,"String Trimmer Electric 12""",1129,50,T,0.15,0
83,"Laptop Sleeve Neoprene 15.6""",1043,417,T,0.15,0
84,Pencil Cup Mesh,702,114,T,0.15,0
85,Trimmer for Beard,368,301,T,0.15,0
86,Corduroy Bear,1135,236,D,0,0.19
87,Silk Sleep Mask,1352,266,T,0.15,0
88,Blades Utility 100ct,1151,417,T,0.15,0
89,Foam Handle Grips,1230,274,T,0.15,0
90,Slippers Memory Foam Gray,326,452,T,0.15,0
91,Guess How Much I Love You,1911,71,D,0,0.04
92,Visitor Sign In Book,588,359,T,0.15,0
93,"Chainsaw Mini 6"" Battery",119,338,D,0,0.09
94,Micellar Water Makeup Remover,1302,196,D,0,0.1
95,Sleeping Pad Inflatable,629,311,T,0.15,0
96,Laundry Hamper Collapsible,301,292,T,0.15,0
97,Ab Wheel Roller,690,460,T,0.15,0
98,Gaming Mechanical Keyboard RGB,1979,392,D,0,0.1
99,Fidget Spinner Rainbow,1452,314,D,0,0.14
100,Face Roller Jade,406,55,T,0.15,0
101,Hanging File Folders 50ct,616,433,T,0.15,0
102,Sriracha Hot Chili Sauce,986,234,S,0,0
103,Dijon Mustard 8oz,1122,242,S,0,0
104,Running Hat UV Protection,450,28,D,0,0.16
105,Letter Opener Stainless,443,316,T,0.15,0
106,Water Balloons Self Sealing,1512,260,T,0.15,0
107,Train Tracks Expansion Pack,343,358,T,0.15,0
108,"Backpack Laptop 15.6""",1226,131,T,0.15,0
109,Mulch Film Black 3ft x 50ft,1412,223,T,0.15,0
110,Jeggings Pull-On Black,405,450,D,0,0.14
111,Projector Ceiling Mount,1625,371,T,0.15,0
112,Knit Beanie Winter Hat,889,146,D,0,0.13
113,Mass Air Flow Sensor,463,130,D,0,0.16
114,Timeline Mass Market,1229,32,T,0.15,0
115,Transmission Filter Kit,219,425,T,0.15,0
116,T-Shirt Graphic Print,585,421,D,0,0.08
117,Spinach Frozen Chopped,710,123,S,0,0
118,Shock Absorber Gas,1586,368,D,0,0.18
119,Desk Tray Metal Mesh,1022,343,T,0.15,0
120,Curling Iron 1 Inch,590,66,D,0,0.06
